"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Rocco Reitz",2002,"de GER","MF","Gladbach","de Bundesliga",23,31,2627,0,4,47,14,8,1,"Rocco Reitz",NA,"Rocco Reitz","Rocco Reitz","Borussia Mönchengladbach","bundesliga","Midfield","Central Midfield",2002-05-29,"Germany",20000000
"Rodri",1996,"es ESP","MF","Manchester City","eng Premier League",29,21,1511,1,0,16,3,3,0,"Rodri",NA,"Rodri","Rodri","Manchester City","premier-league","Midfield","Defensive Midfield",1996-06-22,"Spain",50000000
"Rodrigo Bentancur",1997,"uy URU","MF","Tottenham Hotspur","eng Premier League",28,26,1883,1,1,13,3,7,0,"Rodrigo Bentancur",NA,"Rodrigo Bentancur","Rodrigo Bentancur","Tottenham Hotspur","premier-league","Midfield","Defensive Midfield",1997-06-25,"Uruguay",20000000
"Rodrigo Gomes",2003,"pt POR","MF,FW","Wolves","eng Premier League",22,22,960,3,0,20,6,0,0,"Rodrigo Gomes",NA,"Rodrigo Gomes","Rodrigo Gomes","Wolverhampton Wanderers","premier-league","Midfield","Left Midfield",2003-07-07,"Portugal",15000000
"Rodrigo Mendoza",2005,"es ESP","MF,FW","Elche","es La Liga",20,24,1228,1,1,17,4,6,0,"Rodrigo Mendoza",NA,"Rodrigo Mendoza","Rodrigo Mendoza","Elche CF","laliga","Midfield","Central Midfield",2005-03-15,"Spain",20000000
"Rodrigo Muniz",2001,"br BRA","FW","Fulham","eng Premier League",24,21,1000,1,1,32,5,2,0,"Rodrigo Muniz",NA,"Rodrigo Muniz","Rodrigo Muniz","Fulham FC","premier-league","Attack","Centre-Forward",2001-05-04,"Brazil",20000000
"Rodrigo Riquelme",2000,"es ESP","MF","Real Betis","es La Liga",25,25,821,1,1,24,7,2,0,"Rodrigo Riquelme",NA,"Rodrigo Riquelme","Rodrigo Riquelme","Real Betis Balompié","laliga","Attack","Left Winger",2000-04-02,"Spain",4000000
"Rodrygo",2001,"br BRA","MF,FW","Real Madrid","es La Liga",24,19,684,1,3,27,11,3,0,"Rodrygo",NA,"Rodrygo","Rodrygo","Real Madrid","laliga","Attack","Right Winger",2001-01-09,"Brazil",45000000
"Rolando Mandragora",1997,"it ITA","MF","Fiorentina","it Serie A",28,34,2421,7,3,64,18,7,0,"Rolando Mandragora",NA,"Rolando Mandragora","Rolando Mandragora","ACF Fiorentina","serie-a","Midfield","Defensive Midfield",1997-06-29,"Italy",9000000
"Romain Del Castillo",1996,"fr FRA","MF,FW","Brest","fr Ligue 1",29,32,2625,9,3,33,13,2,1,"Romain Del Castillo",NA,"Romain Del Castillo","Romain Del Castillo","Stade Brestois 29","ligue-1","Attack","Right Winger",1996-03-29,"France",7000000
"Romain Esse",2005,"eng ENG","MF","Crystal Palace","eng Premier League",20,4,44,0,0,0,0,0,0,"Romain Esse",NA,"Romain Esse","Romain Esse","Crystal Palace","premier-league","Attack","Right Winger",2005-05-13,"England",10000000
"Romain Faivre",1998,"fr FRA","MF,FW","Auxerre","fr Ligue 1",27,10,581,0,2,11,3,0,0,"Romain Faivre",NA,"Romain Faivre","Romain Faivre","AFC Bournemouth","premier-league","Midfield","Attacking Midfield",1998-07-14,"France",4000000
"Romain Perraud",1997,"fr FRA","DF","Lille","fr Ligue 1",27,30,2241,3,4,33,12,4,1,"Romain Perraud",NA,"Romain Perraud","Romain Perraud","LOSC Lille","ligue-1","Defender","Left-Back",1997-09-22,"France",7000000
"Romaine Mundle",2003,"eng ENG","MF","Sunderland","eng Premier League",22,14,411,0,0,7,2,1,0,"Romaine Mundle",NA,"Romaine Mundle","Romaine Mundle","Sunderland AFC","premier-league","Attack","Left Winger",2003-04-24,"England",7000000
"Romano Schmid",2000,"at AUT","MF,FW","Werder Bremen","de Bundesliga",25,34,2982,4,8,57,21,4,0,"Romano Schmid",NA,"Romano Schmid","Romano Schmid","SV Werder Bremen","bundesliga","Midfield","Attacking Midfield",2000-01-27,"Austria",15000000
"Romelle Donovan",2006,"eng ENG","FW","Brentford","eng Premier League",18,4,41,0,0,3,1,0,0,"Romelle Donovan",NA,"Romelle Donovan","Romelle Donovan","Brentford FC","premier-league","Attack","Right Winger",2006-11-30,"England",3500000
"Romelu Lukaku",1993,"be BEL","FW","Napoli","it Serie A",32,5,44,1,0,2,1,1,0,"Romelu Lukaku",NA,"Romelu Lukaku","Romelu Lukaku","SSC Napoli","serie-a","Attack","Centre-Forward",1993-05-13,"Belgium",6000000
"Roméo Lavia",2004,"be BEL","MF","Chelsea","eng Premier League",21,12,382,0,0,3,0,0,0,"Romeo Lavia",NA,"Romeo Lavia","Roméo Lavia","Chelsea FC","premier-league","Midfield","Defensive Midfield",2004-01-06,"Belgium",22000000
"Ronald Araújo",1999,"uy URU","DF","Barcelona","es La Liga",26,24,1071,3,0,12,5,2,0,"Ronald Araujo",NA,"Ronald Araujo","Ronald Araujo","FC Barcelona","laliga","Defender","Centre-Back",1999-03-07,"Uruguay",20000000
"Roony Bardghji",2005,"se SWE","MF,FW","Barcelona","es La Liga",19,21,648,1,1,22,12,0,0,"Roony Bardghji",NA,"Roony Bardghji","Roony Bardghji","FC Barcelona","laliga","Attack","Right Winger",2005-11-15,"Sweden",15000000
"Ross Barkley",1993,"eng ENG","MF","Aston Villa","eng Premier League",31,21,857,3,1,18,8,1,0,"Ross Barkley",NA,"Ross Barkley","Ross Barkley","Aston Villa","premier-league","Midfield","Central Midfield",1993-12-05,"England",4000000
"Rouven Tarnutzer",2007,"ch SUI","FW","Freiburg","de Bundesliga",18,1,7,0,0,0,0,0,0,"Rouven Tarnutzer",NA,"Rouven Tarnutzer","Rouven Tarnutzer","SC Freiburg","bundesliga","Midfield","Central Midfield",2007-07-24,"Switzerland",175000
"Ruben Aguilar",1993,"fr FRA","MF","Lens","fr Ligue 1",32,26,1720,2,2,13,3,6,1,"Ruben Aguilar",NA,"Ruben Aguilar","Ruben Aguilar","RC Lens","ligue-1","Defender","Right-Back",1993-04-26,"France",2500000
"Ruben Kluivert",2001,"nl NED","DF","Lyon","fr Ligue 1",24,16,772,1,2,2,1,4,0,"Ruben Kluivert",NA,"Ruben Kluivert","Ruben Kluivert","Olympique Lyon","ligue-1","Defender","Centre-Back",2001-05-21,"Netherlands",8000000
"Ruben Loftus-Cheek",1996,"eng ENG","MF,FW","Milan","it Serie A",29,28,1133,3,1,29,6,2,0,"Ruben Loftus-Cheek",NA,"Ruben Loftus-Cheek","Ruben Loftus-Cheek","AC Milan","serie-a","Midfield","Central Midfield",1996-01-23,"England",8500000
"Ruben Vargas",1998,"ch SUI","MF,FW","Sevilla","es La Liga",26,24,1594,3,6,41,8,2,0,"Ruben Vargas",NA,"Ruben Vargas","Rubén Vargas","Sevilla FC","laliga","Attack","Left Winger",1998-08-05,"Switzerland",12000000
